#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA04B6
#Date Time: 2024-02-19 16:07:20.540.743.300
#Sample rate: 5e+07Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.0001738497517378352	7.442619065491668	-7.966745955091743
-0.0001738297517378351	7.439000869214333	-7.957694338166071
-0.0001738097517378352	7.448046359907682	-7.939591104314777
-0.0001737897517378352	7.431764476659638	-7.943211751085039
-0.0001737697517378351	7.44080996735299	-7.959504661551211
-0.0001737497517378352	7.435382672936981	-7.950453044625564
-0.0001737297517378352	7.453473654323679	-7.945022074470176
-0.0001737097517378351	7.435382672936981	-7.946832397855301
-0.0001736897517378352	7.426337182243624	-7.948642721240432
-0.0001736697517378351	7.440809967353004	-7.952263368010682
-0.0001736497517378352	7.449855458046354	-7.937780780929646
-0.0001736297517378352	7.440809967352996	-7.950453044625564
-0.0001736097517378351	7.442619065491668	-7.973987248632267
-0.0001735897517378352	7.442619065491668	-7.970366601862005
-0.0001735697517378352	7.442619065491668	-7.9576943381661
-0.0001735497517378351	7.448046359907682	-7.952263368010695
-0.0001735297517378352	7.453473654323696	-7.96131498493635
-0.0001735097517378351	7.455282752462367	-7.948642721240446
-0.0001734897517378352	7.453473654323696	-7.963125308321481
-0.0001734697517378352	7.453473654323696	-7.959504661551223
-0.0001734497517378351	7.442619065491668	-7.955884014780957
-0.0001734297517378352	7.464328243155726	-7.966745955091743
-0.0001734097517378351	7.458900948739687	-7.961314984936344
-0.0001733897517378352	7.431764476659638	-7.954073691395826
-0.0001733697517378352	7.435382672936981	-7.959504661551219
-0.0001733497517378351	7.435382672936981	-7.96131498493635
-0.0001733297517378352	7.435382672936981	-7.946832397855301
-0.0001733097517378352	7.46071004687836	-7.968556278476854
-0.0001732897517378351	7.462519145017054	-7.96131498493635
-0.0001732697517378352	7.442619065491668	-7.957694338166088
-0.0001732497517378351	7.437191771075653	-7.957694338166093
-0.0001732297517378352	7.437191771075653	-7.963125308321481
-0.0001732097517378352	7.437191771075653	-7.948642721240446
-0.0001731897517378351	7.431764476659638	-7.954073691395826
-0.0001731697517378352	7.43357357479831	-7.959504661551219
-0.0001731497517378352	7.44261906549166	-7.95769433816609
-0.0001731297517378352	7.439000869214325	-7.963125308321481
-0.0001731097517378352	7.446237261769011	-7.959504661551219
-0.0001730897517378351	7.444428163630337	-7.964935631706597
-0.0001730697517378352	7.442619065491668	-7.948642721240432
-0.0001730497517378352	7.444428163630337	-7.959504661551209
-0.0001730297517378351	7.444428163630339	-7.955884014780957
-0.0001730097517378352	7.43357357479831	-7.96131498493635
-0.0001729897517378351	7.448046359907674	-7.964935631706604
-0.0001729697517378352	7.439000869214325	-7.955884014780957
-0.0001729497517378352	7.451664556185025	-7.955884014780957
-0.0001729297517378351	7.435382672936981	-7.972176925247136
-0.0001729097517378352	7.440809967352996	-7.96131498493635
-0.0001728897517378352	7.444428163630335	-7.948642721240444
-0.0001728697517378351	7.439000869214325	-7.954073691395826
-0.0001728497517378352	7.451664556185025	-7.950453044625564
-0.0001728297517378351	7.455282752462363	-7.961314984936356
-0.0001728097517378352	7.449855458046354	-7.968556278476874
-0.0001727897517378352	7.429955378520985	-7.946832397855321
-0.0001727697517378351	7.440809967352996	-7.955884014780957
-0.0001727497517378352	7.439000869214325	-7.959504661551219
-0.0001727297517378351	7.453473654323698	-7.955884014780959
-0.0001727097517378352	7.455282752462368	-7.957694338166088
-0.0001726897517378352	7.449855458046354	-7.957694338166088
-0.0001726697517378351	7.460710046878383	-7.966745955091743
-0.0001726497517378352	7.458900948739712	-7.973987248632267
-0.0001726297517378352	7.451664556185031	-7.952263368010715
-0.0001726097517378351	7.449855458046354	-7.948642721240432
-0.0001725897517378352	7.464328243155726	-7.950453044625564
-0.0001725697517378351	7.453473654323695	-7.95769433816609
-0.0001725497517378352	7.451664556185025	-7.959504661551219
-0.0001725297517378352	7.469755537571723	-7.950453044625572
-0.0001725097517378351	7.446237261769011	-7.959504661551219
-0.0001724897517378352	7.45709185060104	-7.96131498493635
-0.0001724697517378352	7.4534736543237	-7.966745955091738
-0.0001724497517378351	7.458900948739712	-7.954073691395826
-0.0001724297517378352	7.431764476659638	-7.950453044625564
-0.0001724097517378351	7.453473654323683	-7.954073691395834
-0.0001723897517378352	7.439000869214325	-7.963125308321481
